"Ticker
","Name
","Inception Date
","Fund Asset Class Focus
","Parent Comp. Name
","Fund Industry Focus
","Tot Asset (M)
"
AADR US Equity,ADVISORSHARES DORSEY WRIGHT,7/21/2010,Equity,AdvisorShares ETFs/USA,N.A.,63
GIJAX US Equity,GUGGENHEIM MUNI INC-A,4/27/2004,Fixed Income,Guggenheim Funds Trust,N.A.,62.877
GVALX US Equity,GOTHAM LARGE VALUE FUND-INST,12/31/2015,Equity,FundVantage Trust,N.A.,62.85
BGGKX US Equity,BGF US EQUITY GROWTH-K,4/28/2017,Equity,Baillie Gifford Funds,N.A.,62.812
CBUDX US Equity,CROSSBRIDGE ULT SHRT DUR-INS,4/30/2021,Fixed Income,Trust For Professional Managers/Crossingbridge Advisors LLC,N.A.,62.757
SAFEX US Equity,WEITZ ULTRA SHRT GOVT-INST,8/1/1991,Fixed Income,Weitz Funds/The,N.A.,62.678
DLMAX US Equity,DELAWARE MID CAP VALUE-A,2/1/2008,Equity,Delaware Group Global & International Funds Inc,N.A.,62.614
DPEMX US Equity,MACQUARIE EMERGING MKTS PORT,4/14/1997,Equity,Delaware Pooled Trust,N.A.,62.611
LSVMX US Equity,LSV US MANAGED VOLATIL-INST,6/25/2014,Equity,LSV Funds,N.A.,62.566
BJUN US Equity,INNOVATOR U.S. EQUITY BUFFER,6/3/2019,Equity,Innovator ETF Trust,N.A.,62.421
QTSSX US Equity,QUANTIFIED TACTICAL SECT-INV,2/26/2021,Equity,Advisors Preferred Trust,N.A.,62.384
