year,month,NROU
2028,3,4.353294279
2028,4,4.351554085
2028,5,4.3497659823333334
2028,6,4.347977879666667
2028,7,4.346189777
2028,8,4.344362323333334
2028,9,4.342534869666666
2028,10,4.340707416
2028,11,4.338848438666666
2028,12,4.336989461333333
2029,1,4.335130484
2029,2,4.333246899666666
2029,3,4.331363315333333
2029,4,4.329479731
2029,5,4.327577653333334
2029,6,4.325675575666667
2029,7,4.323773498
2029,8,4.321858489333334
2029,9,4.319943480666667
2029,10,4.318028472
2029,11,4.316105855666667
2029,12,4.3141832393333335
2030,1,4.312260623
2030,2,4.310335741666667
2030,3,4.308410860333333
2030,4,4.306485979
2030,5,4.304564290333333
2030,6,4.302642601666666
2030,7,4.300720913
2030,8,4.29880778
2030,9,4.296894647
2030,10,4.294981514
2030,11,4.293081579
2030,12,4.291181644
2031,1,4.289281709
2031,2,4.287397971
2031,3,4.285514233
2031,4,4.283630495
2031,5,4.281763427666666
2031,6,4.279896360333334
2031,7,4.278029293
2031,8,4.276176351
2031,9,4.274323409
2031,10,4.272470467
